"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1913806220093456689","Sun Apr 20 04:05:34 +0000 2025","0","ANG LAKAS NA NG CROWD AH! EWAN NALANG TALAGA KUNG MAY MASABI PA YUNG IBA #ENCHELLA2025","1913806220093456689","","","tl","","0","0","0","https://x.com/undefined/status/1913806220093456689","1461646832463876096",
"1913805384374169807","Sun Apr 20 04:02:15 +0000 2025","0","AWA NALAMH HEESEUNG ENHYPEN VAMPS UP COACHELLA #ENHYPENinCoachella #ENCHELLA2025 #COACHELLA","1913805384374169807","","","in","","0","0","0","https://x.com/undefined/status/1913805384374169807","1603088645946191872",
"1913805292791648407","Sun Apr 20 04:01:53 +0000 2025","0","SOBRANG GALING TLGA #ENCHELLA2025 #ENHYPEN","1913805292791648407","","","tl","","0","0","1","https://x.com/undefined/status/1913805292791648407","1901314310699438081",
"1913805279831142627","Sun Apr 20 04:01:50 +0000 2025","0","JUNGWON LAP KERINGETNYA HISENG?!! #ENHYPEN #ENCHELLA2025 #ENCHELLA","1913805279831142627","","","in","","0","1","0","https://x.com/undefined/status/1913805279831142627","1861894734098403328",
"1913805256405721427","Sun Apr 20 04:01:44 +0000 2025","0","Wtb record file konser-konser atau fanmeet online enhypen dong Ayo tawarkan kepadaku gaes #wtb #zonauang #enhypen #ENCHELLA2025","1913805256405721427","","","in","","0","0","0","https://x.com/undefined/status/1913805256405721427","1862166415991779328",
"1913805238059835621","Sun Apr 20 04:01:40 +0000 2025","1","OMG SUNGHOON #ENCHELLA2025","1913805238059835621","","","en","","0","0","0","https://x.com/undefined/status/1913805238059835621","1825322032055164928",
"1913805177796042813","Sun Apr 20 04:01:25 +0000 2025","0","sunghoon do ceu ...... #ENCHELLA2025 #ENCHELLA #ENHYPEN","1913805177796042813","","","in","","0","0","0","https://x.com/undefined/status/1913805177796042813","1279987195911208960",
"1913805173551776030","Sun Apr 20 04:01:24 +0000 2025","0","okay.... setlist nya sm tp boleh ga nambah ada shout out sm fever nya #ENHYPEN #ENCHELLA2025","1913805173551776030","","","in","","0","0","0","https://x.com/undefined/status/1913805173551776030","1688040408893509632",
"1913805149434425359","Sun Apr 20 04:01:19 +0000 2025","0","baliw na baliw sau sunghoon putainah! ENHYPEN VAMPS UP COACHELLA #ENCHELLA2025 #ENHYPEN #COACHELLA2025","1913805149434425359","","","in","","0","0","0","https://x.com/undefined/status/1913805149434425359","1447873978010275845",
"1913805142786490439","Sun Apr 20 04:01:17 +0000 2025","0","lakas ng genes ni mingyu e HAHAHAHAH #ENCHELLA2025","1913805142786490439","","","tl","","0","0","0","https://x.com/undefined/status/1913805142786490439","1814968151337279489",
